City,Population 2010,Sq km,income per cap,avg prop val (residential),avg rent val (1 bed apt),region
Philadelphia,1500000,347.52,34000,140000,1400,ASM
"Bandung, Indonesia",2394873,167,5060,37473,128,SES
"Birmingham, UK",1073045,267.77,31572,229520,884.4,WEU
San Francisco,805813,124,49986,1249000,3354,ASM
"Georgetown (Penang), Malaysia",708127,305.77,11051,147764,267,SES
"Vancouver, BC",603502,114.97,43000,1000000,1500,ASM
"Denver, CO",693000,401,31000,480000,1400,ASM
"Houston, TX",2300000,627,32000,339000,893,ASM
"Surabaya, Indonesia",2765000,350.5,3058.08,44970,303.08,SES
"Ipoh, Malaysia",657892,643,5200,101137,126.42,SES
"Pune, India",3124458,243.84,2155,130000,150,SOS
"Kochi, India",601574,94.88,865,75000,130,SOS
"Dubai, UAE",2983248,4114,50000,800000,1442,WES
"Johannesburg, South Africa",957441,334.81,6447,238000,505,SSF
"Cape Town, South Africa",433688,400.28,6242,200000,675,SSF
"Cracow, Poland",766739,326.8,4487,200000,478,EAU
"Leeds, UK",781700,551.7,35000,260000,1400,WEU
"Manchester, UK",541300,243.4,32400,220000,1230,WEU
"Edinburgh, UK",500000,264,37500,340000,1980,WEU
"Naples, Italy",975260,117.27,28749,173644,767,WEU
Jerusalem,856700,125,7487,523375,1150,WES
"Phoenix, AZ",1615017,1343,43960,223700,900,ASM
"Seattle, WA",704352,369,41584,718700,1814,ASM
"Haikou, China",2046189,2237,4130,205627,443,SOS
"Zhuhai, China",1562530,1724,5650,360503,2433,SOS
Indianapolis,855164,936.3,24498,142300,1100,ASM
"Jacksonville, FL",913010,1935.87,25854,160700,1175,ASM
"Barcelona, Spain",1604555,101.4,99682,1152750,1399.2,WEU
"Liverpool, UK",864122,111.8,27700,210000,742,WEU
Washington DC,681170,158.2,50567,545400,2595,ASM
"El Paso, TX",683080,665.1,20050,115400,709,ASM
"Busan, South Korea",3527572,767,38602,72800,515,SOS
"Davao City, the Phillipines",1632991,293.78,3153,19470,231,SES
"Milwaukee County, WI",951448,249,43375,117300,1100,ASM
"Laiwu, China",13516000,2246,3915,87488,217,SOS
"Perth, AUS",2000000,6349.21,65600,555000,2000,OCE
Strasbourg,276170,78.26,36164.11,350000,750,WEU
Montreal,1704694,431.5,54183.62,270000,600,WES
"Fez, Morocco ",1112072,93.2,2900,32091,279,NOF
"Warsaw, Poland",1758000,517,39426,500000,690,EAU
"St. Petersburg, Russia",5323300,1439,28944,500000,620,EAU
